Wall time,Step,Value
1592621921.2083936,18,0.03143741190433502
1592621937.5021145,42,0.0181664377450943
1592621939.5301356,45,0.017221886664628983
1592621957.2000577,71,0.012498894706368446
1592621972.8414674,94,0.010579805821180344
1592622014.286835,155,0.013032819144427776
1592622016.3246853,158,0.01000969484448433
1592622022.4331126,167,0.01582682691514492
1592622064.9510884,229,0.014074523001909256
1592622068.37468,234,0.009935557842254639
1592622082.767176,255,0.008251302875578403
1592622090.9194155,267,0.015778787434101105
1592622095.0744567,273,0.008483590558171272
1592622118.93911,308,0.013401341624557972
1592622120.2994988,310,0.011116056703031063
1592622125.759325,318,0.010362633503973484
1592622145.5545518,347,0.008024968206882477
1592622159.227166,367,0.008054704405367374
1592622196.363644,421,0.007128709927201271
1592622222.9739585,460,0.010870002210140228
1592622232.5403826,474,0.009811853989958763
1592622274.9333417,536,0.007376476190984249
1592622293.494957,563,0.008862842805683613
1592622304.4979897,579,0.008416597731411457
1592622309.2858725,586,0.007394921034574509
1592622309.9686313,587,0.008208786137402058
1592622332.7561738,620,0.0060165333561599255
1592622342.3766305,634,0.0056252083741128445
1592622351.2022014,647,0.005502934101969004
1592622360.7433019,661,0.006925412453711033
1592622367.6308436,671,0.006232256069779396
1592622397.0899303,714,0.006586677860468626
1592622402.554707,722,0.00809648260474205
1592622408.0060165,730,0.008289405144751072
1592622431.9275625,765,0.0056929378770291805
1592622434.6483328,769,0.008642622269690037
1592622436.0132384,771,0.007215284742414951
1592622445.5326326,785,0.007812281604856253
1592622446.9038098,787,0.008019515313208103
1592622451.675224,794,0.009133322164416313
1592622457.2978685,802,0.009948719292879105
1592622461.4578946,808,0.007981967180967331
1592622480.5510728,836,0.006560241803526878
1592622555.1479032,945,0.01359157357364893
1592622572.9456398,971,0.009771957993507385
1592622573.6953752,972,0.00728869391605258
1592622577.7891138,978,0.00652239378541708
1592622581.8857944,984,0.0068815406411886215
1592622594.3843732,1002,0.008011440746486187
1592622596.423312,1005,0.009502198547124863
1592622602.5528843,1014,0.008576036430895329
1592622636.1227186,1063,0.009816169738769531
1592622638.165527,1066,0.0056916228495538235
1592622646.3395898,1078,0.009954597800970078
1592622656.5985057,1093,0.006241922732442617
1592622660.7047715,1099,0.008707039058208466
1592622664.0997283,1104,0.006926179863512516
1592622699.5866952,1156,0.006297298241406679
1592622703.0583732,1161,0.010467221029102802
1592622703.7376325,1162,0.00941396877169609
1592622716.0069404,1180,0.007717406842857599
1592622724.905578,1193,0.008599977940320969
1592622759.9125562,1244,0.008102326653897762
1592622771.5762138,1261,0.006888572126626968
1592622809.2351143,1316,0.006468752399086952
1592622811.2826965,1319,0.0064953891560435295
1592622820.8228908,1333,0.009493401274085045
1592622823.6088762,1337,0.009565428830683231
1592622856.5815897,1385,0.005888571497052908
1592622861.3669288,1392,0.007307614665478468
1592622876.5732756,1414,0.00675030704587698
1592622884.8093278,1426,0.00509005319327116
1592622891.6397421,1436,0.0066720787435770035
1592622912.1954916,1466,0.0049988990649580956
1592622919.708662,1477,0.010538255795836449
1592622929.3287516,1491,0.008022639900445938
1592622951.301253,1523,0.005482705309987068
1592622971.1677709,1552,0.005454042926430702
1592622982.1604345,1568,0.006132349371910095
1592622993.0926113,1584,0.005163337104022503
1592622995.869296,1588,0.005281525198370218
1592623007.646924,1605,0.006307742092758417
1592623031.6467938,1640,0.006796597503125668
1592623060.354826,1682,0.007678695488721132
